Date,Name,Cost
07/12,WALGREENS #2669,10.00
07/12,BURGER KING #370 Q07,32.69
07/12,AK S WALTHAM,56.67
07/14,PLAYSTATION NETWORK,19.99
07/14,PLAYSTATION NETWORK,49.99
07/15,WALGREENS #2669,6.35
07/15,FOOT LOCKER - 06944,129.98
07/16,MTA*NYCT PAYGO NEW,2.75
07/17,CHILLBOX,27.79
07/21,BLUEBIKES,7.97
07/21,BLUEBIKES,3.13
07/23,WALGREENS #2669,154.27
07/23,TRULY YOGURT,3.21
07/23,CUSHING AMUSEMENTS,22.00
07/23,CUSHING AMUSEMENTS,22.00
07/23,CUSHING AMUSEMENTS,20.00
07/24,TST* Cabots Ice Cream,35.00
07/26,LEVEL99,29.99
07/26,TST* Level 99,7.49
07/26,CITY OF WALTHAM,1.25
07/27,PRIMARK BURLINGTON,24.00
07/27,RUBY THAI KITCHEN - BU,23.66
07/27,MARSHALLS #0355,16.99
07/27,AEROPOSTALE #63,66.90
07/27,MILKSHAKE LOVERS INC,14.95
07/27,CHAMPS - 14235,255.50
07/29,WALGREENS #2669,164.97
08/04,GOOGLE,17.99
08/06,76 - PETALUMA 88 INC,17.32
08/06,SQ *DAILY BREAD LLC,49.76
08/08,APEX ENTERTAINMENT,5.00
08/08,APEX ENTERTAINMENT,11.00
08/08,APEX ENTERTAINMENT,30.00
08/08,THAIRIFFIC THAI ASIAN,117.10
08/09,BEST BUY MHT 00008201,308.09
08/09,THAIRIFFIC THAI ASIAN,106.14
08/11,CITY OF WALTHAM,1.25
