Date,Name,Cost
05/12,FRIENDLYS RESTAURANT -,5.34
05/13,ACT*MuslimYouthCampCA,198.75
05/14,Market Basket 00000794,187.16
05/14,HANNAFORD #8017,67.05
05/15,MBTA PAY BY PHONE,3.00
05/15,TRULY YOGURT,4.28
05/15,SPEEDWAY 02426,77.60
05/16,MACYS NATICK COLLECTI,92.00
05/16,AUNTIE ANNE'S MA 132,6.94
05/16,AUNTIE ANNE'S MA 132,6.94
05/16,UNIQLO NATICK #64,89.81
05/16,SARKU JAPAN 063,27.86
05/19,FAMOUS FOOTWEAR,49.99
05/21,SHELL OIL 57544281108,68.07
05/21,DAVES HOT CHICKEN 1108,24.55
05/24,DAVES HOT CHICKEN O 11,48.62
05/26,APPLE STORE #R232,30.81
05/26,MACYS NATICK COLLECTI,27.89
05/26,WALGREENS #2669,31.08
05/26,AUNTIE ANNE'S MA 132,6.94
05/26,MARSHALLS #0612,75.08
05/26,SARKU JAPAN 063,20.08
05/27,JM DOLLAR DISCOUNT,1.25
05/27,EXXONMOBIL 97455711,17.69
05/28,SPEEDWAY 02426,56.03
05/29,EXXONMOBIL 97486336,14.66
06/01,TARGET 00013086,15.26
06/01,TARGET.COM *,106.24
06/04,TST* Tribo Peri Peri -,17.23
06/04,GOOGLE,17.99
06/04,SQ *FEED THE CHEEKS IN,17.00
06/06,CHILLBOX,25.65
06/07,SPEEDWAY 02426,86.31
06/08,SQ *ISTANBUL DINER CAF,92.82
06/08,SQ *ISTANBUL DINER CAF,97.09
06/09,SQ *UHLMANS ICE CREAM,6.00
06/09,PAS*PASSPT PK BOSTON,4.40
06/09,PIZZERIA REGINA FANEUI,4.28
